"ID","classes_opendata","classes_travail","terme_corpus","terme_ressources","terme_valeurs","terme_sources","terme_materiaux","terme_mesures","terme_stat","terme_jeuxdo","terme_basedo","terme_pipeline","terme_brutes","terme_nettoyees","terme_negatives","reprofam","quali_tracabilite","quali_replicabilite","quali_reproductibilite","quali_explicabilite","quali_rechouv","quali_openschol","quali_transparence","partagerestreint","partagecontrole","partageligne","partagelicence","oblig_comedit","oblig_comethique","oblig_financeur","oblig_partenaire","oblig_non","oblig_nonapp","dispo_amov","dispo_envoi","dispo_mail","dispo_servsecu","dispo_datapaper","dispo_supplem","dispo_site","dispo_cloudnoninst","dispo_cloudinst","dispo_entrepgal","dispo_entrepdiscip","dispo_git","dispo_nsp","dispo_nonapp","limite_habitude","limite_valo","limite_doute","limite_temps","limite_mesusage","reutilisable","reutilise","mettredispo_cahiers","mettredispo_logiciels","mettredispo_doc","mettredispo_metado","mettredispo_protocole","mettredispo_blog","conserv_ordiperso","conserv_ordiprof","conserv_externe","conserv_servint","conserv_servinst","conserv_servautre","conserv_servinfrastr","conserv_servprive","conserv_web","conserv_archivage","conserv_nonappl","collab_cahier","collab_bdd","collab_dosspartage","collab_redacpartage","collab_codepartage","collab_wiki","collab_gestionproj","collab_seul","connsoutien","bénésoutien","oksoutien","soutien_fi","soutien_rh","soutien_infrastr","soutien_tech","soutien_forma","soutien_jur","soutien_ethique","soutien_nonapp","aide_amont","aide_constitution","aide_traitement","aide_stockage","aide_misedispo","aide_valo","aide_publi","aide_nonappl","aidequi_speetab","aidequi_sepecentres","aidequi_labo","aidequi_liste","aidequi_platef","aidequi_formation","aidequi_JE","aidequi_nonappl","anciennete","structure","fct_perma","fct_nonperma","fct_IT","fct_bib","fct_autre","statut","disc_dt","disc_inf","disc_lsh","disc_math","disc_pluri","disc_vie","disc_inge","disc_terre","disc_matiere","specialite","sexe","envir_labo","envir_clinique","envir_terrain","envir_bibarchives","envir_modele","envir_theoredac","plus_tech","plus_expe","plus_autom","plus_dorares","plus_dostandards","plus_theo","plus_workflow","plus_modeli","plus_support","temps_collecte","temps_numeriser","temps_corpus","temps_nettoyer","temps_structurer","temps_analyser","temps_modeliser","temps_visu","temps_qualifier","temps_archiver","temps_qualite","temps_disporech","temps_com","temps_formation","source_terrain","source_instru","source_bddOA","source_bddabo","source_bddcoll","source_article","source_web","source_archive","produit_fichierordi","produit_fichierhteperf","produit_norme","produit_script","produit_logiciel","produit_notesnum","produit_notespap","tailleequipe","wavec_perman","wavec_nonperman","wavec_IT","wavec_SI","wavec_bib","wavec_jur","wavec_valo","wavec_scouv","wavec_manag","wavec_com","wavec_intnat","sysOS","log_tab","log_tabsci","log_bdd","log_visu","log_stat","log_image","log_datasci","log_prog","log_entrep","log_nonapp","outil_moi","outil_equipe","outil_parten","outil_employeur","outil_reso","outil_liste","outil_formation","outil_colloque","outil_informel","outil_veille","outil_nonapp","forma_equipe","forma_parten","forma_atelier","forma_informel","forma_mooc","forma_presentiel","forma_continue","forma_tuto","forma_papier","forma_nonapp"
29,1,1,"Oui","Non","Non","Oui","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Assez","Oui","Non","Non","Non","Non","Non","Non","NA","NA","Toujours","NA","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","non","oui","oui","non","non","Oui","Souvent","Non","Non","Non","Oui","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Non","Non","Oui","Non","Oui","Souvent","plutotsat","Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Oui","Oui","Non","Non","Cinq à dix ans","autre","Non","Non","Non","Oui","Non","fonct","Non","Non","Oui","Non","Non","Non","Non","Non","Non","autre","Une femme","Non","Non","Oui","Oui","Non","Oui","Non","Non","Non","Oui","Non","Oui","Non","Non","Oui","moins","moins","moins","moins","moins","moins","NA","moins","NA","moins","moins","NA","moins","NA","Oui","Non","Oui","Non","Non","Oui","Oui","Oui","Oui","Non","Oui","Non","Non","Oui","Non","seule","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Windows","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non"
211,2,1,"Oui","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Pas du tout","Non","Non","Non","Non","Non","Non","Non","Parfois","Jamais","Jamais","Jamais","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","non","non","oui","non","oui","Non","Souvent","Non","Non","Non","Non","Non","Oui","Oui","Non","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","NA","NA","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Plus de dix ans","CNRS","Oui","Non","Non","Non","Non","fonct","Non","Non","Oui","Non","Non","Non","Non","Non","Non","autre","Une femme","Non","Non","Oui","Oui","Non","Oui","Non","Non","Non","Oui","Non","Oui","Non","Non","Non","moins","NA","NA","moins","NA","plus","NA","NA","NA","moins","moins","NA","moins","NA","Oui","Non","Non","Non","Non","Oui","Oui","Non","Oui","Non","Non","Non","Non","Non","Oui","seule","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Windows","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui"
321,1,1,"Oui","Oui","Non","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Assez","Non","Non","Non","Non","Non","Non","Non","NA","NA","NA","Parfois","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","oui","non","non","non","non","Je ne sais pas","Parfois","Non","Non","Oui","Oui","Oui","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Oui","Oui","Parfois","NA","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","Non","Non","Oui","Non","Non","Plus de dix ans","Université","Oui","Non","Non","Non","Non","fonct","Non","Non","Oui","Non","Non","Non","Non","Non","Non","autre","Une femme","Non","Non","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","Non","moins","NA","NA","NA","NA","plus","NA","NA","NA","NA","NA","NA","NA","NA","Non","Non","Oui","Non","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Oui","seule","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Windows","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Oui","Non","Non"
382,3,1,"Oui","Oui","Non","Oui","Oui","Oui","Oui","Non","Oui","Non","Non","Non","Non","Pas du tout","Oui","Non","Non","Oui","Non","Non","Oui","Souvent","Jamais","Jamais","Jamais","Oui","Non","Oui","Oui","Non","Non","Oui","Oui","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","oui","non","non","oui","oui","Je ne sais pas","Parfois","Oui","Non","Non","Non","Non","Oui","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Oui","Oui","Parfois","plutotsat","Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Oui","Oui","Non","Non","Non","Oui","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Plus de dix ans","autre","Oui","Non","Non","Non","Non","fonct","Non","Non","Non","Non","Non","Non","Non","Non","Non","autre","Une femme","Non","Non","Oui","Oui","Oui","Oui","Non","Non","Non","Oui","Non","Oui","Non","Non","Non","plus","moins","plus","plus","moins","plus","plus","moins","moins","plus","moins","moins","moins","moins","Non","Non","Oui","Non","Non","Oui","Non","Oui","Oui","Non","Non","Non","Non","Oui","Oui","seule","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Windows","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Oui","Non","Oui","Non","Non","Oui","Non","Non","Oui","Non","Non","Non","Oui","Non","Non"
426,1,1,"Oui","Oui","Non","Oui","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Pas du tout","Non","Oui","Non","Non","Oui","Non","Non","Non applicable","Non applicable","Non applicable","Non applicable","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","non","non","non","non","non","Non applicable","Non applicable","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Parfois","insatisfait","Non","Non","Non","Oui","Oui","Non","Non","Non","Oui","Oui","Oui","Non","Oui","Oui","Non","Non","Oui","Non","Oui","Non","Oui","Non","Oui","Non","Moins de cinq ans","NA","Non","Oui","Non","Non","Non","autre","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","autre","Un homme","Non","Non","Non","Oui","Oui","Non","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","moins","moins","moins","moins","plus","moins","moins","moins","moins","moins","moins","moins","moins","moins","Non","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Non","Non","Non","Oui","Non","Non","seule","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","MacOS","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Oui","Oui","Oui","Non","Non","Non"
456,1,1,"Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Pas du tout","Non","Non","Non","Non","Oui","Non","Non","NA","NA","NA","NA","Non","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","non","non","non","oui","oui","Je ne sais pas","Je ne sais pas","Non","Non","Non","Oui","Non","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non applicable","NA","NA","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Moins de cinq ans","NA","Non","Oui","Non","Non","Non","fonct","Non","Non","Oui","Non","Non","Non","Non","Non","Non","autre","Une femme","Non","Non","Oui","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Oui","plus","moins","plus","NA","NA","plus","NA","plus","moins","plus","moins","NA","moins","NA","Non","Non","Oui","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Non","Non","Oui","Oui","seule","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","MacOS","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non"
461,1,1,"Oui","Oui","Non","Oui","Oui","Non","Non","Non","Oui","Non","Oui","Non","Non","Assez","Oui","Non","Non","Oui","Oui","Non","Oui","NA","NA","NA","Parfois","Oui","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Oui","Oui","Non","Non","Oui","Non","Non","Non","non","non","non","oui","non","Oui","Toujours","Non","Non","Non","Oui","Oui","Non","Oui","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","NA","NA","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Plus de dix ans","autre","Non","Oui","Non","Non","Non","autre","Non","Non","Oui","Non","Oui","Non","Non","Non","Non","autre","Un homme","Non","Non","Oui","Oui","Oui","Oui","Non","Non","Non","Oui","Non","Oui","Non","Oui","Non","moins","NA","moins","NA","NA","plus","NA","moins","moins","moins","NA","NA","moins","NA","Oui","Non","Non","Non","Oui","Oui","Non","Oui","Oui","Non","Non","Non","Non","Oui","Oui","seule","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Windows","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Non"
474,1,1,"Oui","Oui","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Peu","Non","Non","Non","Non","Oui","Oui","Oui","NA","Toujours","NA","NA","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","non","non","non","non","oui","Oui","Souvent","Non","Non","Oui","Non","Non","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Toujours","tressat","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Oui","Non","Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Cinq à dix ans","autre","Non","Non","Non","Non","Non","autre","Non","Non","Oui","Non","Non","Non","Non","Non","Non","autre","Un homme","Non","Non","Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","Non","moins","NA","moins","NA","NA","NA","NA","moins","NA","plus","plus","NA","NA","NA","Non","Non","Oui","Non","Oui","Oui","Oui","Non","Oui","Non","Non","Non","Non","Oui","Non","seule","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Windows","Non","Non","Oui","Non","Non","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Non"
496,2,1,"Non","Oui","Non","Oui","Oui","Non","Non","Non","Non","Non","Oui","Non","Non","Assez","Oui","Non","Non","Oui","Non","Non","Non","Jamais","Jamais","Jamais","Jamais","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","oui","non","oui","non","oui","Je ne sais pas","Jamais","Oui","Oui","Oui","Oui","Oui","Non","Oui","Non","Oui","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","NA","NA","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Oui","Non","Non","Oui","Non","Oui","Oui","Oui","Non","Oui","Oui","Non","Non","Cinq à dix ans","autre","Non","Oui","Non","Non","Non","autre","Non","Non","Oui","Non","Non","Non","Non","Non","Non","autre","Un homme","Non","Non","Oui","Non","Non","Oui","Oui","Non","Non","Oui","Non","Oui","Non","Non","Non","moins","NA","moins","moins","NA","moins","moins","NA","NA","moins","NA","NA","NA","NA","Oui","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Oui","Oui","seule","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Windows","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui"
502,2,1,"Oui","Non","Non","Oui","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Peu","Oui","Oui","Non","Oui","Oui","Non","Oui","Parfois","Parfois","Jamais","Jamais","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","non","oui","oui","non","oui","Je ne sais pas","Parfois","Non","Non","Non","Non","Oui","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Oui","Oui","Non","Non","Non","Non","Non","NA","NA","Non","Non","Oui","Oui","Non","Non","Non","Non","Oui","Oui","Oui","Non","Oui","Oui","Non","Non","Oui","Non","Non","Non","Non","Oui","Non","Non","Moins de cinq ans","NA","Non","Oui","Non","Non","Non","doct","Non","Non","Oui","Non","Non","Non","Non","Non","Non","autre","Une femme","Non","Non","Oui","Oui","Non","Oui","Non","Non","Non","Oui","Non","Non","Non","Non","Non","moins","moins","moins","moins","moins","moins","moins","moins","moins","moins","moins","moins","moins","moins","Oui","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","seule","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","MacOS","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Non","Non","Non","Non","Non","Non","Non","Non","Non","Non","Oui","Oui","Non","Non","Non","Non","Non","Non","Non","Non"
