ID,specialite,recodage_specialite
14,,
15,,
16,,
29,histoire de l'architecture,autre
94,histoire ,histoire
97,"Science Politiques, sociologie (Politiques publiques, comparaisons internationales)",sociologie
205,,
213,sociologie,sociologie
223,Histoire contemporaine,histoire
252,histoire contemporaine,histoire
280,,
321,Littérature des pays de langue allemande,autre
335,Socio-anthropologie / Aménagement du territoire,sociologie
350,Lettres (littérature française du 19e siècle),autre
401,"Histoire (j'ai réalisé une édition critique dans le cadre de ma thèse, mais ce n'est pas la cœur).",histoire
426,histoire du droit,autre
453,sciences de l'information et communication,autre
456,Lettres,autre
461,études cinématographiques et audiovisuelles,autre
474,civilisation irlandaise ,autre
491,Informatique,autre
521,physique théorique et physique fondamentale,physique 
525,Histoire,histoire
578,Histoire,histoire
583,Histoire de l'Afrique contemporaine,histoire
588,"Histoire culturelle, histoire politique, journalisme",histoire
599,Histoire ancienne,histoire
607,Histoire,histoire
622,,
728,Histoire économique,histoire
729,Electronique,autre
804,,
871,,
880,sociologie,sociologie
891,Robotique,autre
929,,
1049,Géopolitique,autre
1063,Histoire de l'art,autre
1065,"sociologie, histoire",autre
1073,Sciences de l'information,autre
1097,,
1122,"droit constitutionnel, droit administratif",autre
1125,,
1126,,
1161,Histoire et histoire de l'art,autre
1166,,
1192,Littérature et Recherche-Création,autre
24,architecture,autre
68,Sociologie ,sociologie
73,sociologie,sociologie
81,Science politique,autre
87,economie sociale,autre
92,Histoire,histoire
114,histoire économique,histoire
115,Histoire économique,histoire
119,,
132,sociologie,sociologie
135,Sociologie ,sociologie
137,Geographie,géographie
142,,
161,sociologie,sociologie
172,,
173,Sociologie,sociologie
180,sociologie,sociologie
182,sociologie économique,sociologie
188,"Épistémologie, anthropologie des sciences ",autre
190,sociologie,sociologie
192,Sociologie de l'environnement,sociologie
209,Sociologie,sociologie
211,Ethnologie,autre
212,sociologie,sociologie
227,Science politique,autre
231,HISTOIRE,histoire
238,Histoire,histoire
239,sociologie,sociologie
240,sociologie,sociologie
266,sociologie économique,sociologie
274,Cliométrie,autre
298,Sociologie,sociologie
312,Sociologie,sociologie
322,,
330,Histoire moderne,histoire
332,Sociologie,sociologie
343,SOCIOLOGIE,sociologie
347,sociologie politique,sociologie
363,sociologie,sociologie
372,Histoire,histoire
373,,
388,Histoire contemporaine,histoire
399,sociologie,sociologie
430,reelations internationales,autre
436,,
441,sociologie,sociologie
448,Psychologie et sciences de l'éducation,psychologie
462,litérature française,autre
470,Socio histoire de la quantification ,histoire
475,sociologie,sociologie
487,histoire et archéologie,autre
496,Anthropologie,autre
502,sciences de l'information-communication,autre
504,archéologie,archéologie
527,ethnologie,autre
528,sociologie,sociologie
572,anthropologie historique,autre
575,Sociologie des sciences et des techniques,sociologie
585,histoire médiévale,histoire
589,Anthropologie,autre
591,Littérature,autre
592,Histoire moderne,histoire
598,sociologie,sociologie
601,sociologie,sociologie
616,Histoire de l'art,autre
623,histoire contemporaine,histoire
643,Sociologie politique,sociologie
651,génie électrique,autre
736,Psychologie du travail,psychologie
786,sociologie et histoire,autre
798,art plastique,autre
