structure,recodage_structure
Région - Service régional d'Inventaire,autre
"UMR (CNRS, Université)",autre
INRAE,école
"""Maitron""",autre
EVS UMR5600,autre
"Université Clermont Auvergne, CELIS",Université
Université de Perpignan,Université
CELIS UCA,Université
Université Paris 1,Université
Recherche en sciences de l'information et communication,autre
Ircav,autre
CENTRE DE RECHERCHE BRETON ET CELTIQUE ,autre
CNRS,CNRS
CNRS,CNRS
Aix-Marseille Université,Université
FRAMESPA,autre
"Université Paris 1, Institut des mondes africains (IMAf)",Université
PLIDAM,autre
EHESS,Université
Aix-Marseille Université,Université
"Sciences Po, Paris",école
Grenoble INP,organisme
dauphine,Université
"INP, GSCOP",autre
Université catholique de Lyon (UCLy),Université
CRULH,autre
FUBIS / AMU,Université
Université de Tours,Université
Centre Droit Ethique et Procédures,autre
ENSAIA ENSEM,école
université de rennes 2 - direction d ela valorisation et d ela recherche,Université
INHA,Université
Bibliothèque universitaire,Université
Centre de recherches sur les littératures et la sociopoétique (Université Clermont Auvergne),Université
UMR AUSSER,autre
"Université de Lorraine, 2L2S",Université
cnrs,CNRS
CNRS,CNRS
"sciences po grenoble, uga, pacte, cnrs",autre
Aix Marseille université,Université
université Paris-Sorbonne,Université
IDHE.S / Université d'Evry-Val d'Essonne (Paris-Saclay),Université
laboratoire Printemps,autre
CNRS,CNRS
IAC,autre
CNRS - MMSH - Aix-Marseille Université ,CNRS
Université Paris-Saclay,Université
Université de Nantes,Université
Université Nantes,Université
Ecole supérieure agriculture Angers,école
Prefer not saying who cares Karen,autre
INRAE,école
INRAE,école
CNRS,CNRS
Université Paris Dauphine,Université
INRAE,école
UMR 8168 MONDES AMERICAINS,autre
Université Paris I Panthéon Sorbonne,Université
Ined,organisme
DynamE,autre
ENS Paris-Saclay,école
Paris 8 LED,Université
Université de Versailes-Saint-Quentin-en-Yvelines,Université
CNRS,CNRS
CNRS,CNRS
INRAE,école
AGROSUP DIJON,école
CNRS,CNRS
INRAE,école
CNR (Italie),autre
Université de Lorraine,Université
CNRS (CERI Sciences Po),CNRS
INRAE,école
ENS Lyon,école
IHRIM-UCA,Université
Centre Maurice halbwachs ehess Ens cnrs,autre
CNRS,CNRS
ENS,école
Laboratoire d'ethnologie et de sociologie comparative,autre
Université Paris 1 Panthéon Sorbonne,Université
Université Paris Nanterre,Université
FRAMESPA,autre
Mines ParisTech,école
Lamop,autre
Centre Asie du Sud-Est,autre
IHRIM,autre
FRAMESPA,autre
CNRS,CNRS
INHA,Université
MESOPOLHIS,autre
laboratoire systèmes Electrotechniques et Environnement ,autre
EHESS,Université
Université Lyon 2,Université
Centre de sociologie des organisations,autre
PSL,Université
Université de Lorraine,Université
Université de Nantes,Université
Université de Lorraine,Université
"Université de Lorraine, UFR ALL",Université
UMR Citères,autre
Université Toulouse Jean Jaurès,Université
université de tours,Université
DRM,autre
faculté de droit,Université
LIDILEM,autre
UMR,autre
Université de Lorraine,Université
Sciences Po,école
Centre de recherche juridique pothier,autre
CNRS,CNRS
CNRS,CNRS
université de Nantes,Université
CERI/Sciences Po,autre
Université de Paris,Université
université de Poiteirs,Université
Université Lumière Lyon 2,Université
Cnrs,CNRS
Université Bordeaux Montaigne,Université
CNRS,CNRS
Université de Lorraine,Université
Larhra ,autre
laboratoire Printemps,autre
Ecole Normale Supérieure,école
CNRS,CNRS
INRAE,école
CNRS,CNRS
CNRS,CNRS
Université de Technologie de Compiègne (UTC),Université
Sorbonne Université,Université
Inalco,Université
Université de Lyon,Université
traces,autre
CYU,autre
UPJV,Université
CNRS,CNRS
fff,autre
Université de Paris,Université
CNRS,CNRS
Ecole nationale supérieure des sciences de l'information et des bibliothèques (Enssib),école
UMR 7041 ArScAn,autre
Leibniz Institut Berlin ,autre
Université Toulouse-Jean Jaurès,Université
UMR AUSser,autre
Université d'Angers,Université
CELLAM,autre
EHESP,école
"Université Concordia, Montréal",Université
Ecole supérieure d'art et design de Saint-Etienne,école
UMR 7324 CITERES,autre
Université cote d'Azur,Université
"Centre Maurice Halbwachs,  ENS-EHESS_CNRS",autre
iiAC,autre
Université Fédérale de Toulouse,Université
Université de Paris,Université
CNRS UMR 7041 ArScAn,CNRS
Université de Bordeaux,Université
UMR7041 ArScAn équipe ethnologie préhistorique,autre
CNRS,CNRS
CNRS,CNRS
Plidam - Inalco,Université
LARHRA,autre
CMH,autre
Université de Strasbourg,Université
Université de Lille,Université
UMIFRE 19,autre
LLA CREATIS ,autre
UT2J LLA,Université
Université Toulouse Jean Jaurès,Université
Université Paris-Dauphine,Université
IMoPA CNRS7365,autre
UMR CNRS Lamsade,CNRS
Ville de Paris,autre
Université Clermont Auvergne,Université
laboratoire HisCAnt-MA,autre
UFR,Université
Inrap,autre
Univesité de Tours,Université
PLH,autre
Université Toulouse Jean Jaurès,Université
"IFP R.Leclercq, EPSM",autre
INRAE,école
Inrap,autre
USMB,Université
AMU,Université
CREW,autre
Université de Lorraine,Université
Université Savoie Mont Blanc,Université
cethis (Tours),Université
CAS-DEMA,autre
Université,Université
Institut  de Biochimie et de Génétique Cellulaires,autre
CNRS,CNRS
MAA,autre
UT2J,Université
Clesco-CLLE,autre
Centre Droit éthique et Procédures ,autre
agrosup dijon,école
PSL,Université
Laboratoires Printemps,autre
cnrs,CNRS
"Université de Nantes, CENS",Université
INRAP,autre
Université de Montpellier,Université
CNRS,CNRS
LP3C,autre
Université de Montpellier,Université
cnrs,CNRS
Université Libre de Bruxelles,Université
CNRS,CNRS
ENS de Lyon,école
UMR CNRS/Université,autre
Polytech Clermont,école
Université Toulouse Jean Jaurès,Université
Laboratoire Interdisciplinaire de Recherche en Innovations Sociétales (LiRIS EA 7481),autre
INSERM,organisme
Université Rennes 2,Université
AgroParisTech,école
Hydro sciences Montpellier ,école
CNRS,CNRS
Ecole Normale Supérieure de Lyon,école
Cirad,organisme
Université d'Àrtois,Université
INRIA,organisme
Université de Nîmes,Université
INRAE,école
CNRS,CNRS
université de Reims Champagne Ardenne,Université
LIRMM/CNRS,CNRS
CNRS,CNRS
Université Grenoble Alpes,Université
CNRS,CNRS
IMEP-LaHC,autre
CNRS,CNRS
Université Grenoble Alpes,Université
IRD,organisme
université de Nîmes,Université
CNRS,CNRS
CNRS,CNRS
CNRS,CNRS
IRD,organisme
Université Clermont Auvergne,Université
Muséum National d'Histoire Naturelle,organisme
CRAN,autre
Université Paris Dauphine,Université
Université de Lorraine,Université
LEDa,autre
CNRS,CNRS
université de Lorraine,Université
Grenoble INP,organisme
G-SCOP,autre
CNRS,CNRS
IJL,autre
CNRS,CNRS
UL,Université
université de lorraine,Université
ESO Rennes2,Université
CNRS,CNRS
CNRS,CNRS
Université de Lorraine / UR DevAH,Université
CNRS,CNRS
Grenoble INP,organisme
CNRS,CNRS
Université Paris Dauphine,Université
CNRS,CNRS
INRAE,école
SORBONNE UNIVERSITE,Université
LJK,autre
INRAE,école
CNRS,CNRS
Institut de Science des Matériaux de Mulhouse,autre
LPIM,autre
UHA,Université
IS2M UMR CNRS 7361,CNRS
IS2M,autre
"IS2M, CNRS",CNRS
CHRU de Tours,Université
université artois,Université
CNRS,CNRS
CNRS,CNRS
CEREMADE,autre
IRIG,autre
UHA,Université
"2LPN (Laboratoire Lorrain de Psychologie et Neurosciences de la dynamique des comportements), Université de Lorraine.",Université
L'Institut de Chimie Moléculaire de Grenoble - UAR ICMG,autre
"Laboratoire IMoPA, UMR7365 CNRS-Université de Lorraine",autre
CentraleSupélec,école
CNRS,CNRS
CNRS,CNRS
université de Lorraine,Université
GEORESSOURCES,autre
LAPSCO,autre
Université de Tours,Université
CLLE (Université Toulouse Jean Jaurès),Université
CNRS,CNRS
ENSAIA,école
CNRS,CNRS
Université de Lorraine,Université
Inrap,autre
CNRS,CNRS
Sciences Po,école
CNRS-LACITO,CNRS
UMR Géographie-Cités ,autre
CNRS,CNRS
Université Toulouse Jean-Jaurès,Université
Sorbonne université,Université
Columbia University,autre
Inserm,organisme
"Pacte, Université Grenoble Alpes",Université
Unitersité Toulouse 1,Université
Université de Strasbourg,Université
CNRS,CNRS
IRD,organisme
Université Paris-Saclay,Université
EHESS,Université
CNRS,CNRS
CNRS,CNRS
CNRS / IAO (ENS-Lyon),CNRS
CNRS,CNRS
INALCO,Université
Maison des Sciences de l'Homme en Bretagne,Université
